"station_id";"codestation";"inseecom";"coordx";"coordy";"codecourseau";"libellecourseau";"codetronconhydro";"coderegion";"codedepartement";"naturestation";"libellenaturestation";"typeentitehydro";"cdtronconh";"idtronconh";"nomentiteh";"etat";"sens";"largeur";"nature";"navigable";"source";"target";"troncon_id";"gid";"distance";"cdentitehy";"nomentiteh_plando";"distance_planeau";"verif_cdho"
21031;"K461608";"41125";"614521";"6710826.39";NULL;NULL;NULL;"24";"41";"M";"Station de mesure Manuelle";"1";"K4616500";"415006740";NULL;"Fictif";"Sens du tronçon";"Plus de 50 mètres";"Cours d'eau naturel";"Non navigable";12139;164168;133980;"352003";"180.53027400698056";"K4616083";"étang de bièvre";"33.89863034674498";False
21039;"L421412T";"23101";"614532.43";"6573409.24";NULL;NULL;NULL;"75";"23";"M";"Station de mesure Manuelle";"1";"L4210070";"423001984";"rivière la creuse";"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";102087;102677;62875;"280853";"116.41716213568353";"L4214123";"champsanglard";"31.9627921084725";False
21040;"K5--310";"23076";"662541.76";"6570216.07";NULL;NULL;NULL;"75";"23";"M";"Station de mesure Manuelle";"1";"K5090090";"416003949";"rivière le cher";"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";100467;101246;61261;"279241";"183.10647858357487";"K5--3103";"barrage de rochebut";"136.246998129316";False
21063;"L6111393";"36204";"565097.04";"6632665.89";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6116680";"425001457";NULL;"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";127697;127698;91568;"309583";"410.22207120437224";"L6111393";"étang des rondières";"0";False
21051;"L4700006";"36157";"588525.2";"6622345";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4704100";"423000288";"ruisseau le bouzanteuil";"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";8013;8014;85102;"303118";"1448.813945961596";"L4709013";NULL;"69.46969357081204";False
21052;"L4700008";"36148";"568678.2";"6611576";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4727900";"450009440";NULL;"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";117119;117120;79741;"297763";"17.777520569655646";"L4725033";NULL;"294.4160991655232";False
21054;"L4726063";"36053";"568322.8";"6621062";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4728500";"450009432";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";122058;122059;85280;"303297";"404.7054484410551";"L4726063";"étang les trodins";"0";False
21055;"L4725110";"36053";"567186.9";"6619134";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4729000";"423000427";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";120960;120740;84051;"302071";"22.144348760280867";"L4725113";NULL;"0";False
21056;"L4726113";"36053";"565231.32";"6618898.94";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4725200";"423000428";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";120828;120816;83903;"301936";"106.75626444937829";"L4726113";NULL;"0";False
21057;"L6111050";"36204";"561272.1";"6635571";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6116500";"425001140";NULL;"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";129345;129709;93807;"311819";"161.5836151318411";"L6111053";NULL;"0";False
21059;"L4726173";"36053";"564619.56";"6618424.62";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4725400";"450008631";NULL;"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";120465;120512;83548;"301566";"11.480289098497268";"L4726173";NULL;"0";False
